Data,Localidade,Precipitacao_mm,Temp_Maxima_C,Temp_Minima_C
2026-07-31,Pemba,0.00639905,25.06076,23.266968
2026-08-01,Pemba,1.7129798,24.411163,23.15683
2026-08-02,Pemba,7.9887934,24.931824,22.81659
2026-07-31,Mueda,0.0,28.40149,18.190674
2026-08-01,Mueda,0.0,28.166473,18.359497
2026-08-02,Mueda,0.12440198,27.580536,18.643524
2026-07-31,Mocimboa Praia,0.3864203,25.089844,24.005646
2026-08-01,Mocimboa Praia,3.2998385,25.065674,23.407654
2026-08-02,Mocimboa Praia,1.3036985,24.805481,23.111603
2026-07-31,Montepuez,0.0,28.429901,14.420197
2026-08-01,Montepuez,0.0,26.848816,14.605499
2026-08-02,Montepuez,0.013935393,27.776825,14.273193
2026-07-31,Muidumbe,0.9633442,26.479187,22.637024
2026-08-01,Muidumbe,2.800277,26.786194,22.027466
2026-08-02,Muidumbe,4.3319926,25.700287,22.030853
2026-07-31,Macomia,0.9701018,25.280151,22.87674
2026-08-01,Macomia,2.6081514,25.401917,22.455444
2026-08-02,Macomia,2.5945244,25.140198,22.062286
2026-07-31,Ibo,0.004295023,25.047852,23.70105
2026-08-01,Ibo,1.2652473,24.596191,23.431946
2026-08-02,Ibo,1.6886619,24.967834,22.841644
2026-07-31,Metunge,0.10771582,25.222015,22.776703
2026-08-01,Metunge,0.94989157,24.815247,22.780823
2026-08-02,Metunge,2.114158,25.027802,22.468384
2026-07-31,Mecufi,0.041005135,25.124908,22.970428
2026-08-01,Mecufi,1.9899719,24.03128,23.019592
2026-08-02,Mecufi,6.961856,24.937103,22.889923
2026-07-31,Ancuabe,1.2906857,27.26419,21.46054
2026-08-01,Ancuabe,3.6785011,26.731934,21.197296
2026-08-02,Ancuabe,0.12894693,26.516388,20.924286
2026-07-31,Namuno,0.0,27.667969,15.0979
2026-08-01,Namuno,0.0,26.68637,15.31546
2026-08-02,Namuno,0.0,27.118927,14.93161
2026-07-31,Balama,0.0,25.667236,14.516235
2026-08-01,Balama,0.0,24.93164,14.949646
2026-08-02,Balama,0.0,24.988312,14.388702
