Data,Localidade,Precipitacao_mm,Temp_Maxima_C,Temp_Minima_C
2026-07-31,Mapai,0.0,24.73404,12.845062
2026-08-01,Mapai,0.0,23.616913,10.041107
2026-08-02,Mapai,0.0,24.011444,7.853821
2026-07-31,Combomune,0.028867476,24.449493,13.322144
2026-08-01,Combomune,0.0,23.487091,10.020569
2026-08-02,Combomune,0.0,23.436493,8.065582
2026-07-31,Maniquenique,4.239808,22.732697,18.705414
2026-08-01,Maniquenique,0.03623285,22.516083,16.149261
2026-08-02,Maniquenique,0.0,23.442963,13.230438
2026-07-31,Xai-Xai,1.7235558,21.451508,20.262207
2026-08-01,Xai-Xai,0.0921511,21.071503,19.732208
2026-08-02,Xai-Xai,0.0,21.289276,19.504059
2026-07-31,Dindiza,0.0,24.70819,13.612213
2026-08-01,Dindiza,0.0,24.318512,11.278412
2026-08-02,Dindiza,0.0,23.538177,9.009308
2026-07-31,Massangena,0.004770315,24.99765,13.147095
2026-08-01,Massangena,0.0,23.980255,10.235596
2026-08-02,Massangena,0.0,23.322754,7.6054688
2026-07-31,Alto-Changane,2.9290435,23.828094,15.310913
2026-08-01,Alto-Changane,1.6038611,23.547058,14.21225
2026-08-02,Alto-Changane,0.0,24.015656,11.449799
2026-07-31,Guija,0.26879206,23.328003,13.798889
2026-08-01,Guija,0.0,22.978516,13.739288
2026-08-02,Guija,0.0,23.058807,10.496948
2026-07-31,Chicualacuala,0.0,23.648376,12.641754
2026-08-01,Chicualacuala,0.0,22.46878,9.573914
2026-08-02,Chicualacuala,0.0,22.923065,8.951965
2026-07-31,Massingir,0.0,24.08728,12.838409
2026-08-01,Massingir,0.0,23.067688,9.427551
2026-08-02,Massingir,0.0,23.448761,9.109253
2026-07-31,Chibuto,3.476565,23.111298,18.250092
2026-08-01,Chibuto,0.07856031,22.915222,15.461273
2026-08-02,Chibuto,0.0,23.731323,12.619965
2026-07-31,Macia,4.815333,21.867401,18.136902
2026-08-01,Macia,1.7243502,21.57779,17.88263
2026-08-02,Macia,0.0,22.317047,15.273346
2026-07-31,Chokwé,1.2865559,22.62381,15.431641
2026-08-01,Chokwé,0.048921436,22.367828,15.347565
2026-08-02,Chokwé,0.0,22.631409,13.339661
2026-07-31,Praia do Bilene,1.587368,21.306519,20.323334
2026-08-01,Praia do Bilene,1.1092228,20.883453,19.310577
2026-08-02,Praia do Bilene,0.0,20.997772,19.409088
