Data,Localidade,Precipitacao_mm,Temp_Maxima_C,Temp_Minima_C
2026-07-31,Vilanculos,3.2803297,22.973022,20.517761
2026-08-01,Vilanculos,4.5714073,22.636322,20.25943
2026-08-02,Vilanculos,0.0,23.508545,20.352661
2026-07-31,Inharrime,0.32554957,22.575897,21.536377
2026-08-01,Inharrime,0.074769944,21.92627,21.002258
2026-08-02,Inharrime,0.0,23.022308,19.23352
2026-07-31,Inhambane,0.2197458,22.60379,21.518616
2026-08-01,Inhambane,0.16740784,21.995209,21.082184
2026-08-02,Inhambane,0.0,23.253326,20.203308
2026-07-31,Govuro,0.0,26.317413,17.310333
2026-08-01,Govuro,0.00755189,25.720245,15.617249
2026-08-02,Govuro,0.002957919,24.990387,13.7664795
2026-07-31,Panda,3.6805038,23.877808,17.291473
2026-08-01,Panda,0.17185904,23.522064,16.907867
2026-08-02,Panda,0.0,24.641144,14.83139
2026-07-31,Inhassune,0.4293868,22.524689,21.308075
2026-08-01,Inhassune,0.07411834,22.05783,20.627655
2026-08-02,Inhassune,0.0,23.078491,18.406464
2026-07-31,Morrumbene,0.3357493,22.621887,21.443817
2026-08-01,Morrumbene,0.14150088,22.058716,21.122955
2026-08-02,Morrumbene,0.0,23.433105,19.908844
2026-07-31,Mapinhane,2.435861,23.201996,19.457428
2026-08-01,Mapinhane,3.328064,23.027039,19.640778
2026-08-02,Mapinhane,0.0,23.683075,18.844635
2026-07-31,Nhacoongo,0.109517634,22.569427,21.452332
2026-08-01,Nhacoongo,0.055721812,21.842804,21.21228
2026-08-02,Nhacoongo,0.0,22.725433,20.220001
