Data,Localidade,Precipitacao_mm,Temp_Maxima_C,Temp_Minima_C
2026-07-31,Mavalane,2.2680838,21.075623,18.63504
2026-08-01,Mavalane,0.03844289,20.56311,18.218384
2026-08-02,Mavalane,0.0,21.178314,17.637695
2026-07-31,Umbeluzi,0.0658633,21.272491,17.889648
2026-08-01,Umbeluzi,0.01648304,20.545898,17.348969
2026-08-02,Umbeluzi,0.0,21.099396,16.617554
2026-07-31,Ricatla,1.6351069,21.034363,18.932037
2026-08-01,Ricatla,0.96223456,20.539948,18.583435
2026-08-02,Ricatla,0.0,21.192413,18.118713
2026-07-31,INIA sede,2.2680838,21.075623,18.63504
2026-08-01,INIA sede,0.03844289,20.56311,18.218384
2026-08-02,INIA sede,0.0,21.178314,17.637695
2026-07-31,Changalane,5.8447586e-05,22.669556,15.67514
2026-08-01,Changalane,0.00060293986,21.447235,14.572845
2026-08-02,Changalane,0.0,22.524109,12.646332
2026-07-31,Inhaca,1.961038,21.037231,18.626862
2026-08-01,Inhaca,0.08286962,20.534271,18.155853
2026-08-02,Inhaca,0.0,21.21814,17.506012
2026-07-31,Marragra,0.7076794,21.019775,19.252045
2026-08-01,Marragra,2.120209,20.599915,19.00998
2026-08-02,Marragra,0.0,20.96231,18.496735
2026-07-31,Mapulanguene,0.0,23.623627,14.15567
2026-08-01,Mapulanguene,0.0,22.822205,11.604095
2026-08-02,Mapulanguene,0.0,23.348724,10.032898
2026-07-31,Pequenos Libombos,0.0,21.550049,16.610687
2026-08-01,Pequenos Libombos,0.0,20.757263,15.860992
2026-08-02,Pequenos Libombos,0.0,21.566376,15.087616
2026-07-31,B.Corrumane,0.0,23.59967,12.388702
2026-08-01,B.Corrumane,0.0,22.75238,11.507721
2026-08-02,B.Corrumane,0.0,23.202515,9.819916
2026-07-31,Maputo Observatorio,0.978737,21.408386,18.116669
2026-08-01,Maputo Observatorio,0.0,20.740112,17.634644
2026-08-02,Maputo Observatorio,0.0,21.254242,17.014038
