Data,Localidade,Precipitacao_mm,Temp_Maxima_C,Temp_Minima_C
2026-07-31,Lichinga,0.0,23.65802,12.0816345
2026-08-01,Lichinga,0.0,22.661163,12.682068
2026-08-02,Lichinga,0.040359423,22.413147,14.305756
2026-07-31,Maua,0.08171129,25.555511,13.051697
2026-08-01,Maua,0.0,24.883484,12.739441
2026-08-02,Maua,0.0,24.533844,13.768982
2026-07-31,Mecula,0.0,29.379883,15.863495
2026-08-01,Mecula,0.0,28.74884,14.59317
2026-08-02,Mecula,0.0,28.315948,15.33316
2026-07-31,Cuamba,0.0,27.369507,13.016266
2026-08-01,Cuamba,0.020219719,24.382416,15.518677
2026-08-02,Cuamba,0.022855598,26.297638,16.170502
2026-07-31,Metangula,0.0,24.676819,14.348511
2026-08-01,Metangula,0.0,23.046844,12.939728
2026-08-02,Metangula,0.0,22.444366,12.650085
2026-07-31,Marrupa,0.08171129,25.555511,13.051697
2026-08-01,Marrupa,0.0,24.883484,12.739441
2026-08-02,Marrupa,0.0,24.533844,13.768982
2026-07-31,Madjedje,0.0,26.37024,15.072693
2026-08-01,Madjedje,0.0,25.531403,13.261658
2026-08-02,Madjedje,0.0,24.093811,13.870331
