Data,Localidade,Precipitacao_mm,Temp_Maxima_C,Temp_Minima_C
2026-07-31,Maputo,2.2680838,21.075623,18.63504
2026-08-01,Maputo,0.03844289,20.56311,18.218384
2026-08-02,Maputo,0.0,21.178314,17.637695
2026-07-31,Xai-Xai,1.7235558,21.451508,20.262207
2026-08-01,Xai-Xai,0.0921511,21.071503,19.732208
2026-08-02,Xai-Xai,0.0,21.289276,19.504059
2026-07-31,Inhambane,0.2197458,22.60379,21.518616
2026-08-01,Inhambane,0.16740784,21.995209,21.082184
2026-08-02,Inhambane,0.0,23.253326,20.203308
2026-07-31,Beira,2.3220496,23.01181,21.994232
2026-08-01,Beira,1.4750884,22.517853,20.822113
2026-08-02,Beira,2.2478225,22.673492,21.02597
2026-07-31,Chimoio,0.0,26.7612,14.659668
2026-08-01,Chimoio,0.0,24.960327,13.598419
2026-08-02,Chimoio,0.0,25.820831,13.6467285
2026-07-31,Tete,0.0,25.976166,13.121796
2026-08-01,Tete,0.0,23.826294,14.410309
2026-08-02,Tete,0.0,24.71106,14.221954
2026-07-31,Quelimane,2.3190222,23.222717,22.076294
2026-08-01,Quelimane,17.468613,22.584259,21.374634
2026-08-02,Quelimane,0.0,22.816437,21.564087
2026-07-31,Nampula,0.0,26.841187,16.303284
2026-08-01,Nampula,0.0,25.05484,16.181763
2026-08-02,Nampula,0.0,25.211548,16.039276
2026-07-31,Lichinga,0.0,23.65802,12.0816345
2026-08-01,Lichinga,0.0,22.661163,12.682068
2026-08-02,Lichinga,0.040359423,22.413147,14.305756
2026-07-31,Pemba,0.00639905,25.06076,23.266968
2026-08-01,Pemba,1.7129798,24.411163,23.15683
2026-08-02,Pemba,7.9887934,24.931824,22.81659
