Data,Localidade,Precipitacao_mm,Temp_Maxima_C,Temp_Minima_C
2026-07-31,Quelimane,2.3190222,23.222717,22.076294
2026-08-01,Quelimane,17.468613,22.584259,21.374634
2026-08-02,Quelimane,0.0,22.816437,21.564087
2026-07-31,Pebane,0.04309586,23.272003,22.442352
2026-08-01,Pebane,0.7506237,22.618683,21.807312
2026-08-02,Pebane,0.0,23.136566,22.401978
2026-07-31,Gile,0.0,26.861115,15.059296
2026-08-01,Gile,0.36344612,24.125702,15.635468
2026-08-02,Gile,0.0,26.234528,14.251251
2026-07-31,Namarroi,0.0,25.746002,14.128632
2026-08-01,Namarroi,5.491235,21.612183,15.077209
2026-08-02,Namarroi,0.0,24.216278,13.905853
2026-07-31,Morrumbala,0.0,26.416107,14.967438
2026-08-01,Morrumbala,1.769525,24.348358,15.107452
2026-08-02,Morrumbala,0.0,25.610107,13.891022
2026-07-31,Namacurra,0.4653806,23.876282,20.910309
2026-08-01,Namacurra,13.380119,22.433563,21.556702
2026-08-02,Namacurra,0.0,23.739288,20.681824
2026-07-31,M.da costa,0.012992879,24.400116,21.34671
2026-08-01,M.da costa,6.410341,22.70819,21.436523
2026-08-02,M.da costa,0.0,24.231384,21.150543
2026-07-31,Alto - Molocue,0.0,25.692017,13.726898
2026-08-01,Alto - Molocue,0.40173972,22.836761,13.882538
2026-08-02,Alto - Molocue,0.0,24.600922,13.946899
2026-07-31,Molumbo,0.0,27.547058,12.802338
2026-08-01,Molumbo,0.0,25.348267,13.670532
2026-08-02,Molumbo,0.0,25.924957,13.456543
2026-07-31,Ile,0.0,24.749084,23.561554
2026-08-01,Ile,11.083609,23.91269,22.681305
2026-08-02,Ile,0.0,24.654114,23.291046
